crawl_timestamp,url,title,seo_score,page_priority,severity,issue,explanation,action
2026-07-26T06:18:36Z,https://engineerwala.com/,Engineer Wala - Automotive Learning Made Easy,66,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/about-us/,About Us - Engineer Wala,66,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/bad-wheel-bearing-symptoms/,"Bad Wheel Bearing Symptoms: 8 Warning Signs, Noises, Causes, And Safe Checks In 2026 - Engineer Wala",61,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/category/automobile/,Automobile - Engineer Wala,66,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/category/home-page/,Home - Engineer Wala,58,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/category/materials/,Materials - Engineer Wala,59,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/category/materials/,Materials - Engineer Wala,59,High,High,Very thin content,Page par approximately 81 visible words detect huay hain.,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo."
2026-07-26T06:18:36Z,https://engineerwala.com/category/tools/,Tools - Engineer Wala,59,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/category/tools/,Tools - Engineer Wala,59,High,High,Very thin content,Page par approximately 77 visible words detect huay hain.,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo."
2026-07-26T06:18:36Z,https://engineerwala.com/contact-us/,Contact Us - Engineer Wala,66,High,High,Very thin content,Page par approximately 143 visible words detect huay hain.,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo."
2026-07-26T06:18:36Z,https://engineerwala.com/disclaimer/,Disclaimer - Engineer Wala,58,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/milage-calculator/,Milage Calculator - Engineer Wala,63,High,High,Very thin content,Page par approximately 221 visible words detect huay hain.,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo."
2026-07-26T06:18:36Z,https://engineerwala.com/noise-when-turning-steering-wheel/,Noise When Turning Steering Wheel While Stationary - Engineer Wala - Engineer Wala,66,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/privacy-policy/,Privacy Policy - Engineer Wala,77,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
2026-07-26T06:18:36Z,https://engineerwala.com/services/,Services - Engineer Wala,66,High,High,Very thin content,Page par approximately 260 visible words detect huay hain.,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo."
2026-07-26T06:18:36Z,https://engineerwala.com/terms-and-conditions/,Terms And Conditions - Engineer Wala,74,High,High,Missing H1 heading,Page par koi H1 heading detect nahi hui.,Page ke main topic ko describe karne wali aik clear H1 heading add karo.
